,index,carID,brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
201,201,12562,hyundi, Santa Fe,2019,Automatic,623,Diesel,145.0,42.8,2.2,32950
202,202,12563,skoda, Yeti,2011,Automatic,103986,Diesel,235.0,43.5,2.0,4249
203,203,12564,vw, Scirocco,2017,Semi-Auto,27597,Diesel,145.0,58.9,2.0,16490
204,204,12566,audi, A7,2013,Automatic,71100,Diesel,235.0,44.1,3.0,17500
205,205,12574,vw, Arteon,2019,Semi-Auto,4482,Diesel,145.0,44.1,2.0,26995
206,206,12575,bmw, X7,2020,Semi-Auto,5656,Diesel,150.0,31.4,3.0,77990
207,207,12576,bmw, X6,2019,Semi-Auto,3145,Petrol,145.0,26.4,3.0,68300
208,208,12580,vw, Scirocco,2016,Manual,14772,Petrol,125.0,52.3,1.4,13268
209,209,12583,toyota, Verso,2016,Manual,22691,Petrol,200.0,41.5,1.6,10500
210,210,12589,bmw, i3,2017,Automatic,33021,Hybrid,0.0,470.8,0.0,18995
211,211,12590,vauxhall, GTC,2016,Manual,10337,Petrol,160.0,47.1,1.4,9549
212,212,12591,vw, Caravelle,2012,Automatic,45000,Diesel,325.0,34.4,2.0,21995
213,213,12594,merc, SLK,2013,Automatic,35116,Diesel,145.0,56.5,2.1,10699
214,214,12598,bmw, X4,2017,Automatic,44397,Diesel,200.0,47.1,3.0,24100
215,215,12601,bmw, X7,2019,Semi-Auto,9200,Diesel,145.0,31.4,3.0,74990
216,216,12602,skoda, Yeti,2016,Automatic,19100,Petrol,125.0,51.4,1.2,13495
217,217,12603,vw, Arteon,2019,Semi-Auto,6095,Petrol,150.0,47.1,2.0,26999
218,218,12604,vw, Amarok,2018,Automatic,29771,Diesel,260.0,36.2,3.0,26990
219,219,12605,merc, GL Class,2015,Automatic,61289,Diesel,330.0,35.3,3.0,28700
220,220,12609,ford, Tourneo Custom,2019,Automatic,2000,Diesel,145.0,32.1,2.0,26500
221,221,12615,bmw, X4,2019,Semi-Auto,3098,Diesel,150.0,42.8,2.0,35990
222,222,12618,merc, CLS Class,2016,Semi-Auto,39972,Diesel,125.0,57.7,2.1,19113
223,223,12619,bmw, X4,2019,Semi-Auto,2316,Diesel,145.0,42.8,2.0,38182
224,224,12621,toyota, Land Cruiser,2017,Semi-Auto,10023,Diesel,145.0,38.2,2.8,39995
225,225,12622,hyundi, IX20,2014,Manual,19898,Petrol,125.0,50.4,1.4,7489
226,226,12630,audi, S3,2015,Semi-Auto,46965,Petrol,205.0,40.9,2.0,19000
227,227,12631,bmw, M4,2020,Semi-Auto,99,Petrol,145.0,34.0,3.0,48630
228,228,12632,hyundi, Getz,2008,Manual,67000,Petrol,125.0,51.4,1.1,1695
229,229,12639,hyundi, IX20,2017,Manual,9870,Petrol,125.0,50.4,1.4,8499
230,230,12641,bmw, 6 Series,2015,Automatic,25757,Diesel,160.0,49.6,3.0,21298
231,231,12645,bmw, Z4,2020,Semi-Auto,100,Petrol,145.0,33.2,3.0,38950
232,232,12647,toyota, Land Cruiser,2017,Semi-Auto,30071,Diesel,300.0,38.2,2.8,31495
233,233,12648,hyundi, Santa Fe,2017,Manual,30131,Diesel,150.0,47.1,2.2,17500
234,234,12651,vw, Caravelle,2019,Automatic,2071,Diesel,145.0,33.6,2.0,47988
235,235,12655,skoda, Kamiq,2019,Automatic,3610,Diesel,145.0,52.3,1.6,21995
236,236,12657,audi, RS6,2014,Automatic,58000,Petrol,555.0,28.8,4.0,38444
237,237,12662,audi, A7,2018,Automatic,19132,Petrol,150.0,39.8,3.0,38880
238,238,12665,merc, V Class,2018,Manual,27222,Diesel,145.0,46.3,2.1,19998
239,239,12666,hyundi, IX20,2015,Manual,29731,Petrol,125.0,50.4,1.4,6890
240,240,12668,bmw, 6 Series,2016,Semi-Auto,29403,Petrol,260.0,35.8,3.0,26420
241,241,12672,vw, Arteon,2019,Manual,100,Diesel,145.0,52.3,2.0,24450
242,242,12673,hyundi, I40,2016,Manual,31731,Diesel,30.0,65.7,1.7,11180
243,243,12675,skoda, Scala,2019,Semi-Auto,2000,Petrol,150.0,47.1,1.0,15995
244,244,12677,ford, KA,2008,Manual,50990,Petrol,160.0,45.6,1.3,1895
245,245,12680,merc, M Class,2013,Automatic,27932,Diesel,200.0,44.8,2.1,18999
246,246,12683,bmw, Z4,2015,Semi-Auto,15768,Petrol,330.0,30.1,3.0,22895
247,247,12685,audi, A8,2018,Semi-Auto,5538,Diesel,145.0,50.4,3.0,35866
248,248,12687,toyota, Prius,2013,Automatic,80000,Hybrid,0.0,70.6,1.8,8988
249,249,12692,bmw, M4,2018,Semi-Auto,8725,Petrol,145.0,33.6,3.0,53999
250,250,12694,toyota, Verso,2016,Manual,25725,Petrol,200.0,41.5,1.6,11000
251,251,12702,vw, Amarok,2019,Automatic,10000,Diesel,260.0,33.6,3.0,31495
252,252,12703,hyundi, Santa Fe,2017,Semi-Auto,39589,Diesel,240.0,42.8,2.2,19470
253,253,12704,audi, A8,2014,Automatic,48399,Diesel,200.0,47.1,3.0,17790
254,254,12705,merc, CLS Class,2019,Semi-Auto,992,Petrol,150.0,31.7,3.0,69995
255,255,12708,bmw, 7 Series,2016,Automatic,33000,Diesel,145.0,54.3,3.0,29990
256,256,12710,merc, S Class,2010,Automatic,51238,Diesel,300.0,37.2,3.0,9995
257,257,12711,bmw, Z4,2020,Semi-Auto,5,Petrol,150.0,37.2,2.0,35000
258,258,12713,vw, Shuttle,2019,Semi-Auto,12746,Diesel,145.0,32.8,2.0,26396
259,259,12715,vw, Caddy Maxi Life,2019,Automatic,13191,Diesel,145.0,44.1,2.0,19000
260,260,12716,merc, V Class,2016,Automatic,43000,Diesel,200.0,45.6,2.1,25490
261,261,12726,toyota, Prius,2017,Automatic,37500,Hybrid,140.0,85.6,1.8,20500
262,262,12728,vw, Caddy Maxi Life,2019,Semi-Auto,14056,Diesel,145.0,44.1,2.0,19995
263,263,12734,merc, X-CLASS,2020,Automatic,303,Diesel,260.0,35.8,2.3,31991
264,264,12736,hyundi, IX35,2015,Manual,29865,Diesel,145.0,53.3,1.7,8595
265,265,12746,vw, California,2019,Automatic,7486,Diesel,260.0,33.2,2.0,57991
266,266,12750,vauxhall, Combo Life,2018,Manual,1146,Diesel,145.0,53.3,1.5,14985
267,267,12754,merc, V Class,2018,Manual,32095,Diesel,150.0,46.3,2.1,19346
268,268,12755,ford, Galaxy,2016,Semi-Auto,3950,Diesel,145.0,52.3,2.0,19170
269,269,12759,hyundi, Santa Fe,2017,Semi-Auto,26385,Diesel,235.0,42.8,2.2,21849
270,270,12762,bmw, M3,2004,Manual,60000,Petrol,325.0,23.3,3.2,17850
271,271,12763,bmw, X4,2016,Automatic,52131,Diesel,150.0,54.3,2.0,20470
272,272,12767,bmw, X7,2019,Semi-Auto,1657,Diesel,145.0,31.4,3.0,73990
273,273,12768,bmw, Z4,2016,Manual,25921,Petrol,205.0,41.5,2.0,15991
274,274,12772,skoda, Yeti,2016,Manual,29000,Diesel,30.0,62.8,2.0,12295
275,275,12773,skoda, Scala,2019,Manual,1037,Diesel,145.0,57.7,1.6,19191
276,276,12777,audi, SQ7,2017,Automatic,40000,Diesel,300.0,39.2,4.0,43950
277,277,12779,merc, M Class,2014,Automatic,74869,Diesel,205.0,44.8,2.1,16940
278,278,12788,hyundi, I40,2015,Manual,54000,Diesel,30.0,65.7,1.7,6990
279,279,12789,toyota, Land Cruiser,2015,Automatic,51437,Diesel,300.0,38.2,2.8,29875
280,280,12790,merc, CLS Class,2019,Automatic,1751,Diesel,145.0,45.6,2.0,37890
281,281,12796,vw, Scirocco,2014,Manual,44034,Diesel,30.0,62.8,2.0,10399
282,282,12798,hyundi, I800,2016,Automatic,48039,Diesel,325.0,33.6,2.5,12711
283,283,12804,vauxhall, Combo Life,2019,Manual,10543,Diesel,145.0,53.3,1.5,13798
284,284,12805,audi, S3,2016,Automatic,60000,Petrol,205.0,40.9,2.0,21950
285,285,12807,toyota, Camry,2019,Automatic,5145,Hybrid,135.0,52.3,2.5,24990
286,286,12810,toyota, Hilux,2015,Automatic,19962,Diesel,260.0,32.8,3.0,20495
287,287,12811,audi, A7,2017,Semi-Auto,34128,Petrol,330.0,29.7,4.0,30000
288,288,12812,vw, Beetle,2016,Manual,20991,Petrol,125.0,51.4,1.2,13000
289,289,12818,ford, KA,2016,Manual,19065,Petrol,30.0,57.7,1.2,6600
290,290,12821,vw, Scirocco,2017,Manual,22430,Petrol,145.0,47.1,2.0,15495
291,291,12822,toyota, Hilux,2019,Automatic,3500,Diesel,260.0,36.2,2.4,23995
292,292,12825,merc, CLA Class,2020,Automatic,2000,Petrol,150.0,44.8,1.3,32995
293,293,12829,merc, GL Class,2015,Automatic,21210,Diesel,125.0,56.5,2.1,18199
